Call Number,Unit ID,Incident Number,Call Type,Call Date,Watch Date,Received DtTm,Entry DtTm,Dispatch DtTm,Response DtTm,On Scene DtTm,Transport DtTm,Hospital DtTm,Call Final Disposition,Available DtTm,Address,City,Zipcode of Incident,Battalion,Station Area,Box,Original Priority,Priority,Final Priority,ALS Unit,Call Type Group,Number of Alarms,Unit Type,Unit sequence in call dispatch,Fire Prevention District,Supervisor District,Neighborhooods - Analysis Boundaries,Location,RowID
192910017,E11,19125164,Alarms,2019-10-18,2019-10-17,10/18/2019 12:03:52 AM,10/18/2019 12:06:59 AM,10/18/2019 12:07:05 AM,10/18/2019 12:08:28 AM,10/18/2019 12:11:10 AM,null,null,Fire,10/18/2019 12:33:57 AM,24TH ST/VALENCIA ST,San Francisco,94110,B06,11,5525,3,3,3,true,Alarm,1,ENGINE,1,6,9,Mission,POINT (-122.42066480228367 37.75210364574824),192910017-E11
192910018,B10,19125165,Alarms,2019-10-18,2019-10-17,10/18/2019 12:05:56 AM,10/18/2019 12:07:27 AM,10/18/2019 12:09:49 AM,null,null,null,null,Other,10/18/2019 12:10:14 AM,3300 Block of 23RD ST,San Francisco,94110,B06,11,0552,3,3,3,false,Alarm,1,CHIEF,1,6,9,Mission,POINT (-122.4202535645237 37.75368162954947),192910018-B10
192910018,T07,19125165,Alarms,2019-10-18,2019-10-17,10/18/2019 12:05:56 AM,10/18/2019 12:07:27 AM,10/18/2019 12:09:49 AM,null,null,null,null,Other,10/18/2019 12:10:14 AM,3300 Block of 23RD ST,San Francisco,94110,B06,11,0552,3,3,3,false,Alarm,1,TRUCK,3,6,9,Mission,POINT (-122.4202535645237 37.75368162954947),192910018-T07
192910025,B04,19125166,Alarms,2019-10-18,2019-10-17,10/18/2019 12:09:02 AM,10/18/2019 12:09:02 AM,10/18/2019 12:09:02 AM,10/18/2019 12:09:02 AM,10/18/2019 12:09:02 AM,null,null,Fire,10/18/2019 12:21:52 AM,3300 Block of FILLMORE ST,San Francisco,94123,B04,16,3554,3,3,3,false,Alarm,1,CHIEF,1,4,2,Marina,POINT (-122.43607739030332 37.80034056356869),192910025-B04
192910034,E01,19125167,Structure Fire,2019-10-18,2019-10-17,10/18/2019 12:12:39 AM,10/18/2019 12:12:39 AM,10/18/2019 12:12:48 AM,10/18/2019 12:13:52 AM,10/18/2019 12:16:16 AM,null,null,Fire,10/18/2019 12:16:25 AM,7TH ST/MISSION ST,San Francisco,94103,B02,01,2315,3,3,3,true,Alarm,1,ENGINE,1,2,6,South of Market,POINT (-122.41093657380038 37.779211684542084),192910034-E01
192910034,T01,19125167,Structure Fire,2019-10-18,2019-10-17,10/18/2019 12:12:39 AM,10/18/2019 12:12:39 AM,10/18/2019 12:12:48 AM,10/18/2019 12:14:28 AM,null,null,null,Fire,10/18/2019 12:16:18 AM,7TH ST/MISSION ST,San Francisco,94103,B02,01,2315,3,3,3,false,Alarm,1,TRUCK,2,2,6,South of Market,POINT (-122.41093657380038 37.779211684542084),192910034-T01
192910039,76,19125168,Medical Incident,2019-10-18,2019-10-17,10/18/2019 12:14:32 AM,10/18/2019 12:14:32 AM,10/18/2019 12:15:10 AM,10/18/2019 12:15:25 AM,10/18/2019 12:32:14 AM,10/18/2019 12:56:35 AM,10/18/2019 01:15:56 AM,Code 2 Transport,10/18/2019 01:48:10 AM,1600 Block of MCKINNON AVE,San Francisco,94124,B10,17,6515,A,2,2,true,Non Life-threatening,1,MEDIC,1,10,10,Bayview Hunters Point,POINT (-122.38972310330021 37.73607882495912),192910039-76
192910048,T08,19125169,Alarms,2019-10-18,2019-10-17,10/18/2019 12:20:25 AM,10/18/2019 12:21:44 AM,10/18/2019 12:21:51 AM,10/18/2019 12:24:30 AM,10/18/2019 12:26:44 AM,null,null,Fire,10/18/2019 12:40:41 AM,100 Block of BERRY ST,San Francisco,94158,B03,08,2171,3,3,3,false,Alarm,1,TRUCK,3,3,6,Mission Bay,POINT (-122.3921894505535 37.77663138541027),192910048-T08
192910057,78,19125170,Medical Incident,2019-10-18,2019-10-17,10/18/2019 12:23:58 AM,10/18/2019 12:26:34 AM,10/18/2019 12:26:42 AM,10/18/2019 12:27:20 AM,10/18/2019 12:34:19 AM,10/18/2019 12:53:44 AM,10/18/2019 01:01:18 AM,Code 3 Transport,10/18/2019 01:52:13 AM,800 Block of FOERSTER ST,San Francisco,94127,B09,15,8247,3,3,3,true,Potentially Life-Threatening,1,MEDIC,2,9,7,West of Twin Peaks,POINT (-122.44882464734825 37.736080487699894),192910057-78
192910057,E15,19125170,Medical Incident,2019-10-18,2019-10-17,10/18/2019 12:23:58 AM,10/18/2019 12:26:34 AM,10/18/2019 12:26:42 AM,10/18/2019 12:29:33 AM,10/18/2019 12:33:04 AM,null,null,Code 3 Transport,10/18/2019 01:17:49 AM,800 Block of FOERSTER ST,San Francisco,94127,B09,15,8247,3,3,3,true,Potentially Life-Threatening,1,ENGINE,1,9,7,West of Twin Peaks,POINT (-122.44882464734825 37.736080487699894),192910057-E15
